"id","player","atpname","birthdate","weight","height","turnedpro","birthplace","coaches","hand","backhand","ioc"
"A0CH","Muhammad Althaf Dhaifullah","Muhammad Althaf Dhaifullah",20001119,,,,"","","R","2H","INA"
"A0CJ","Duje Ajdukovic","Duje Ajdukovic",20010205,78,188,2018,"Split, Croatia","Frane Nincevic","R","2H","CRO"
"A0CY","Luis Alberto Ayala","Luis Alberto Ayala",19591021,,,,"","","","","CHI"
"A0D2","Mousa Alkotop","Mousa Alkotop",19980625,,,,"","","","","JOR"
"A0DV","Arda Azkara","Arda Azkara","20030314","","","","","","","","TUR"
"A0E2","Carlos Alcaraz","Carlos Alcaraz",20030505,74,183,2018,"El Palmar, Spain","Juan Carlos Ferrero, Samuel Lopez","R","2H","ESP"
"A0EE","Hussain Akbari","Hussain Akbari",,,,,"","","","","IRI"
"A0EG","Ramiz Akhmerov","Ramiz Akhmerov",19530308,,,,"","","","","AZE"
"A0EI","Olav Abrahamsen","Olav Abrahamsen",19580202,,,,"","","","","NOR"
"A0EJ","Enrique Andrade","Enrique Andrade",19520130,,,,"","","","","ECU"
"A0EY","Walid Ahouda","Walid Ahouda",20031014,,,,"","","","","MAR"
"A0FC","Matteo Arnaldi","Matteo Arnaldi",20010222,71,185,2019,"Alessandro Petrone, Matteo Civarolo","Sanremo, Italy","R","2H","ITA"
"A0FY","Peter Adolph","Peter Adolph",,,,,"","","","","USA"
"A0GB","Liova Ajavon","Liova Ajavon",19990617,,,,"","","","","TOG"
"A0GC","Terence Atmane","Terence Atmane",20020109,80,193,,"Saint-Martin-Boulogne","Peyre Guillaume","L","2H","FRA"
"A0GD","P. Arndt","P. Arndt",,,,,"","","","","AUS"
"A0GF","Juan Carlos Arroyo","Juan Carlos Arroyo",,,,,"","","","","ESP"
"A0H2","Carlos Angel","Carlos Angel",,,,,"","","","","COL"
"A0H3","Bill Atkins","Bill Atkins",,,,,"","","","","USA"
"A0H4","Remzi Aydin","Remzi Aydin",19481028,,,,"","","","","TUR"
"A0H5","Jack Adolphson","Jack Adolphson",,,,,"","","","","USA"
"A0H6","Larry Axtell","Larry Axtell",,,,,"","","","","USA"
"A0H7","Charles Alloo","Charles Alloo",,,,,"","","","","USA"
"A0H8","Mike Adams","Mike Adams",,,,,"","","","","USA"
"A0H9","Juan Arredondo","Juan Arredondo",,,,,"","","","","MEX"
